Product,MAE,MAPE,MdAPE,Percent of Forecasts Better Than Naive
Tayt,"258.04","61.33%","26.80%","75.00%"
Şarj Edebilir Diş Fırçası,"28.85","90.32%","41.88%","53.57%"
Mont,"0.00",,,"100.00%"
Islak Mendil & Havlu,"65.62","59.59%","26.99%","64.29%"
Bikini Üstü,"0.62",,,"75.00%"
Telefon Bluetooth Kulaklık,"149.23","48.98%","27.55%","71.43%"
Süpürge,"12.38","52.51%","21.36%","75.00%"
Yüz Temizleyici,"10.92","32.62%","18.40%","57.14%"
